"# EUR daily reference rates (ECB/BdF, via Frankfurter API) — audit trail for Jan 26"
# YTD window: 2026-01-01 .. 2026-01-31   MTD window: 2026-01-01 .. 2026-01-31
# Rates expressed as 1 EUR = X foreign currency.

Date,In MTD month,GBP,JPY,USD
2026-01-02,yes,0.871900,183.940000,1.172100
2026-01-05,yes,0.867600,182.930000,1.166400
2026-01-06,yes,0.866300,183.140000,1.170700
2026-01-07,yes,0.866400,182.910000,1.168400
2026-01-08,yes,0.868700,182.970000,1.167500
2026-01-09,yes,0.867700,183.520000,1.164200
2026-01-12,yes,0.867400,184.420000,1.169200
2026-01-13,yes,0.866000,185.120000,1.165400
2026-01-14,yes,0.866800,184.820000,1.165100
2026-01-15,yes,0.867400,184.310000,1.162400
2026-01-16,yes,0.867000,183.670000,1.161700
2026-01-19,yes,0.867100,183.690000,1.163100
2026-01-20,yes,0.872200,185.180000,1.172800
2026-01-21,yes,0.874400,185.230000,1.173900
2026-01-22,yes,0.872200,185.880000,1.170600
2026-01-23,yes,0.868100,185.710000,1.174200
2026-01-26,yes,0.867500,182.520000,1.183600
2026-01-27,yes,0.868300,182.920000,1.192900
2026-01-28,yes,0.868500,182.760000,1.197400
2026-01-29,yes,0.866200,183.480000,1.196800
2026-01-30,yes,0.866200,183.590000,1.191900

Computed rate,GBP,JPY,USD
MTD Average rate,0.868281,183.938571,1.173824
YTD Average rate,0.868281,183.938571,1.173824
Closing rate,0.866200,183.590000,1.191900
