"# EUR daily reference rates (ECB/BdF, via Frankfurter API) — audit trail for Mar 26"
# YTD window: 2026-01-01 .. 2026-03-31   MTD window: 2026-03-01 .. 2026-03-31
# Rates expressed as 1 EUR = X foreign currency.

Date,In MTD month,GBP,JPY,USD
2026-01-02,no,0.871900,183.940000,1.172100
2026-01-05,no,0.867600,182.930000,1.166400
2026-01-06,no,0.866300,183.140000,1.170700
2026-01-07,no,0.866400,182.910000,1.168400
2026-01-08,no,0.868700,182.970000,1.167500
2026-01-09,no,0.867700,183.520000,1.164200
2026-01-12,no,0.867400,184.420000,1.169200
2026-01-13,no,0.866000,185.120000,1.165400
2026-01-14,no,0.866800,184.820000,1.165100
2026-01-15,no,0.867400,184.310000,1.162400
2026-01-16,no,0.867000,183.670000,1.161700
2026-01-19,no,0.867100,183.690000,1.163100
2026-01-20,no,0.872200,185.180000,1.172800
2026-01-21,no,0.874400,185.230000,1.173900
2026-01-22,no,0.872200,185.880000,1.170600
2026-01-23,no,0.868100,185.710000,1.174200
2026-01-26,no,0.867500,182.520000,1.183600
2026-01-27,no,0.868300,182.920000,1.192900
2026-01-28,no,0.868500,182.760000,1.197400
2026-01-29,no,0.866200,183.480000,1.196800
2026-01-30,no,0.866200,183.590000,1.191900
2026-02-02,no,0.865800,183.590000,1.184000
2026-02-03,no,0.862300,183.920000,1.180100
2026-02-04,no,0.861600,185.150000,1.182000
2026-02-05,no,0.869100,185.110000,1.179800
2026-02-06,no,0.867900,185.270000,1.179400
2026-02-09,no,0.870100,185.650000,1.188600
2026-02-10,no,0.869500,184.510000,1.189400
2026-02-11,no,0.869900,182.790000,1.190000
2026-02-12,no,0.871100,182.520000,1.187400
2026-02-13,no,0.871600,181.830000,1.186200
2026-02-16,no,0.869000,181.790000,1.185500
2026-02-17,no,0.873300,181.060000,1.182600
2026-02-18,no,0.872400,181.990000,1.184500
2026-02-19,no,0.873800,182.050000,1.175300
2026-02-20,no,0.872800,182.630000,1.176700
2026-02-23,no,0.873400,182.440000,1.178400
2026-02-24,no,0.873100,183.530000,1.177700
2026-02-25,no,0.871400,184.700000,1.178400
2026-02-26,no,0.871900,184.370000,1.181400
2026-02-27,no,0.876300,184.130000,1.180500
2026-03-02,yes,0.873900,184.190000,1.169800
2026-03-03,yes,0.871700,182.980000,1.160600
2026-03-04,yes,0.870500,183.020000,1.164900
2026-03-05,yes,0.869500,183.030000,1.161800
2026-03-06,yes,0.866930,182.570000,1.156100
2026-03-09,yes,0.865300,183.150000,1.155500
2026-03-10,yes,0.865450,183.670000,1.164100
2026-03-11,yes,0.863630,183.630000,1.158100
2026-03-12,yes,0.862430,183.430000,1.154700
2026-03-13,yes,0.865030,182.850000,1.147600
2026-03-16,yes,0.864080,182.660000,1.147800
2026-03-17,yes,0.864300,183.290000,1.153100
2026-03-18,yes,0.863930,183.490000,1.150000
2026-03-19,yes,0.863880,182.460000,1.148900
2026-03-20,yes,0.864380,183.460000,1.155500
2026-03-23,yes,0.864200,183.860000,1.159600
2026-03-24,yes,0.865410,183.910000,1.157200
2026-03-25,yes,0.865580,184.270000,1.159200
2026-03-26,yes,0.865150,184.190000,1.153900
2026-03-27,yes,0.867200,184.160000,1.151700
2026-03-30,yes,0.868030,183.120000,1.148400
2026-03-31,yes,0.868330,183.390000,1.149800

Computed rate,GBP,JPY,USD
MTD Average rate,0.866311,183.399091,1.155832
YTD Average rate,0.868239,183.595556,1.170262
Closing rate,0.868330,183.390000,1.149800
