"# EUR daily reference rates (ECB/BdF, via Frankfurter API) — audit trail for May 26"
# YTD window: 2026-01-01 .. 2026-05-31   MTD window: 2026-05-01 .. 2026-05-31
# Rates expressed as 1 EUR = X foreign currency.

Date,In MTD month,GBP,JPY,USD
2026-01-02,no,0.871900,183.940000,1.172100
2026-01-05,no,0.867600,182.930000,1.166400
2026-01-06,no,0.866300,183.140000,1.170700
2026-01-07,no,0.866400,182.910000,1.168400
2026-01-08,no,0.868700,182.970000,1.167500
2026-01-09,no,0.867700,183.520000,1.164200
2026-01-12,no,0.867400,184.420000,1.169200
2026-01-13,no,0.866000,185.120000,1.165400
2026-01-14,no,0.866800,184.820000,1.165100
2026-01-15,no,0.867400,184.310000,1.162400
2026-01-16,no,0.867000,183.670000,1.161700
2026-01-19,no,0.867100,183.690000,1.163100
2026-01-20,no,0.872200,185.180000,1.172800
2026-01-21,no,0.874400,185.230000,1.173900
2026-01-22,no,0.872200,185.880000,1.170600
2026-01-23,no,0.868100,185.710000,1.174200
2026-01-26,no,0.867500,182.520000,1.183600
2026-01-27,no,0.868300,182.920000,1.192900
2026-01-28,no,0.868500,182.760000,1.197400
2026-01-29,no,0.866200,183.480000,1.196800
2026-01-30,no,0.866200,183.590000,1.191900
2026-02-02,no,0.865800,183.590000,1.184000
2026-02-03,no,0.862300,183.920000,1.180100
2026-02-04,no,0.861600,185.150000,1.182000
2026-02-05,no,0.869100,185.110000,1.179800
2026-02-06,no,0.867900,185.270000,1.179400
2026-02-09,no,0.870100,185.650000,1.188600
2026-02-10,no,0.869500,184.510000,1.189400
2026-02-11,no,0.869900,182.790000,1.190000
2026-02-12,no,0.871100,182.520000,1.187400
2026-02-13,no,0.871600,181.830000,1.186200
2026-02-16,no,0.869000,181.790000,1.185500
2026-02-17,no,0.873300,181.060000,1.182600
2026-02-18,no,0.872400,181.990000,1.184500
2026-02-19,no,0.873800,182.050000,1.175300
2026-02-20,no,0.872800,182.630000,1.176700
2026-02-23,no,0.873400,182.440000,1.178400
2026-02-24,no,0.873100,183.530000,1.177700
2026-02-25,no,0.871400,184.700000,1.178400
2026-02-26,no,0.871900,184.370000,1.181400
2026-02-27,no,0.876300,184.130000,1.180500
2026-03-02,no,0.873900,184.190000,1.169800
2026-03-03,no,0.871700,182.980000,1.160600
2026-03-04,no,0.870500,183.020000,1.164900
2026-03-05,no,0.869500,183.030000,1.161800
2026-03-06,no,0.866930,182.570000,1.156100
2026-03-09,no,0.865300,183.150000,1.155500
2026-03-10,no,0.865450,183.670000,1.164100
2026-03-11,no,0.863630,183.630000,1.158100
2026-03-12,no,0.862430,183.430000,1.154700
2026-03-13,no,0.865030,182.850000,1.147600
2026-03-16,no,0.864080,182.660000,1.147800
2026-03-17,no,0.864300,183.290000,1.153100
2026-03-18,no,0.863930,183.490000,1.150000
2026-03-19,no,0.863880,182.460000,1.148900
2026-03-20,no,0.864380,183.460000,1.155500
2026-03-23,no,0.864200,183.860000,1.159600
2026-03-24,no,0.865410,183.910000,1.157200
2026-03-25,no,0.865580,184.270000,1.159200
2026-03-26,no,0.865150,184.190000,1.153900
2026-03-27,no,0.867200,184.160000,1.151700
2026-03-30,no,0.868030,183.120000,1.148400
2026-03-31,no,0.868330,183.390000,1.149800
2026-04-01,no,0.871130,183.730000,1.160500
2026-04-02,no,0.872530,183.940000,1.152500
2026-04-07,no,0.872580,184.730000,1.155700
2026-04-08,no,0.868930,185.130000,1.170600
2026-04-09,no,0.870530,185.700000,1.168500
2026-04-10,no,0.871050,186.430000,1.171100
2026-04-13,no,0.870580,186.750000,1.168400
2026-04-14,no,0.869130,187.330000,1.179300
2026-04-15,no,0.869350,187.410000,1.178000
2026-04-16,no,0.869930,187.310000,1.178200
2026-04-17,no,0.871680,187.720000,1.179700
2026-04-20,no,0.870450,186.880000,1.176000
2026-04-21,no,0.870350,187.140000,1.176700
2026-04-22,no,0.869030,186.810000,1.173300
2026-04-23,no,0.865750,186.500000,1.169400
2026-04-24,no,0.868030,186.710000,1.171200
2026-04-27,no,0.865800,187.060000,1.174900
2026-04-28,no,0.867150,186.580000,1.168000
2026-04-29,no,0.866430,187.050000,1.170600
2026-04-30,no,0.866250,183.210000,1.170200
2026-05-04,yes,0.863580,183.830000,1.170000
2026-05-05,yes,0.863430,184.420000,1.168600
2026-05-06,yes,0.863700,183.740000,1.176200
2026-05-07,yes,0.864100,184.070000,1.177000
2026-05-08,yes,0.864100,184.370000,1.176100
2026-05-11,yes,0.864880,184.870000,1.176500
2026-05-12,yes,0.868030,184.980000,1.173800
2026-05-13,yes,0.867130,184.830000,1.171500
2026-05-14,yes,0.866180,184.830000,1.170200
2026-05-15,yes,0.870500,184.360000,1.162800
2026-05-18,yes,0.870200,184.930000,1.164800
2026-05-19,yes,0.866710,184.890000,1.162000
2026-05-20,yes,0.865550,184.480000,1.160000
2026-05-21,yes,0.864330,184.590000,1.159900
2026-05-22,yes,0.864180,184.530000,1.159500
2026-05-25,yes,0.862550,185.040000,1.164300
2026-05-26,yes,0.863750,185.220000,1.163400
2026-05-27,yes,0.866180,185.520000,1.163700
2026-05-28,yes,0.866650,185.240000,1.161700
2026-05-29,yes,0.867230,185.450000,1.164400

Computed rate,GBP,JPY,USD
MTD Average rate,0.865648,184.709500,1.167320
YTD Average rate,0.867948,184.318738,1.169764
Closing rate,0.867230,185.450000,1.164400
